Interaction Type,Simulation,Median,Mean,Std_Error,IQR,Q1,Q3
Black → Black,1_race_23,0.0,0.0,0.30151134457776363,2.0,-1.0,1.0
Black → Black,2_race_23,1.0,0.3888888888888889,0.26537989202867984,1.5,-0.5,1.0
Black → White,1_race_23,0.0,0.18421052631578946,0.1994529298403872,1.75,-0.75,1.0
Black → White,2_race_23,-1.0,-0.39473684210526316,0.18434971071518264,0.8333333333333334,-1.0,-0.16666666666666666
White → Black,1_race_23,-0.5,-0.08974358974358973,0.2605436081141228,2.0,-1.0,1.0
White → Black,2_race_23,-0.25,-0.075,0.19626445639010964,2.0,-1.0,1.0
White → White,1_race_23,-1.0,-0.4473684210526316,0.15716204269446418,1.0,-1.0,0.0
White → White,2_race_23,-0.6,-0.27058823529411763,0.21393226191350362,2.0,-1.0,1.0
